request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_with_plan,installments,2025-08-03:15656000,2025-08-03,none,"Use installment plan payment_option_72 (2025-08-03:15656000). This schedule fits your cash flow while preserving your IDR 24,768,300.00 minimum balance."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"You can safely pay the full ZAR 6,670.00 today. Your balance remains safely above your ZAR 20,500.00 minimum balance throughout the forecast period."
request_28,689.4,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,302.40 request. The full amount cannot be completed safely within 90 days while maintaining the required EUR 1,100.00 minimum balance."
request_29,51524.0,affordable_with_plan,installments,2025-11-04:51524,2025-11-04,none,"Use installment plan payment_option_81 (2025-11-04:51524). This schedule fits your cash flow while preserving your ZAR 28,300.00 minimum balance."
request_30,775.2,affordable_with_plan,installments,2026-04-06:775.20,2026-04-06,none,Use installment plan payment_option_84 (2026-04-06:775.20). This schedule fits your cash flow while preserving your USD 900.00 minimum balance.
request_31,13840359.99,affordable_later,wait,2024-09-15:18164000,2024-09-15,none,"Wait until 2024-09-15 to make the full payment of IDR 18,164,000.00. Your balance will reach safe levels on that date."
request_32,33305.8,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 40,018.00 request. The full amount cannot be completed safely within 90 days while maintaining the required ZAR 35,700.00 minimum balance."
request_33,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 118,000.00 request. The full amount cannot be completed safely within 90 days while maintaining the required INR 102,100.00 minimum balance."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"You can safely pay the full INR 129,400.00 today. Your balance remains safely above your INR 138,500.00 minimum balance throughout the forecast period."
request_35,125130.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 212,000.00 request. The full amount cannot be completed safely within 90 days while maintaining the required INR 106,400.00 minimum balance."
request_36,1446.6,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3,954.00 request. The full amount cannot be completed safely within 90 days while maintaining the required USD 2,400.00 minimum balance."
